title,author_name,rating,paperbook_price,audible_price,kindle_price,hardcover_price,category,description,number_of_ratings,avg_rating,delivery_info,merchant_info
Untamed,"Doyle, Glennon","avg rating    4.02
",454,0,,431.3,"Books
›
Health, Family & Personal Development
›
Self-Help","'This book will shake your brain and make your soul scream. I am so ready for myself after reading this book!' Adele

'Untamed will liberate women - emotionally, spiritually, and physically. It is phenomenal.' Elizabeth Gilbert, author of City of Girls and Eat Pray Love

Who were you before the world told you who to be?

Part inspiration, part memoir, explores the joy and peace we discover when we stop striving to meet the expectations of the world, and instead dare to listen to and trust in the voice deep inside us. From the beloved bestselling author, speaker and activist Glennon Doyle.

*****

For many years, Glennon Doyle denied her discontent. Then, while speaking at a conference, she looked at a woman across the room and fell instantly in love. Three words flooded her mind: . At first, Glennon assumed these words came to her from on high but soon she realised they had come to her from within. This was the voice she had buried beneath decades of numbing addictions and social conditioning. Glennon decided to let go of the world's expectations of her and reclaim her true untamed self.

Soulful and uproarious, forceful and tender, is both an intimate memoir and a galvanising wake-up call. It is the story of how one woman learned that a responsible mother is not one who slowly dies for her children, but one who shows them how to fully live. It is also the story of how each of us can begin to trust ourselves enough to set boundaries, make peace with our bodies, honour our anger and heartbreak, and unleash our truest, wildest instincts.

shows us how to be brave. And, as Glennon insists, '","9,091 ratings",,"FREE delivery: Saturday, March 19 on orders over ₹499 shipped by Amazon Details",Cloudtail India
"The Secret Keeper of Jaipur (The Henna Artist, #2)","Joshi, Alka","avg rating    4.12
",239,,,223.3,"Books
›
Literature & Fiction",Will the secret-keeper of Jaipur reveal what has remained buried for so long?,"1,407 ratings",,"FREE delivery: Saturday, March 19 on orders over ₹499 shipped by Amazon Details",Cloudtail India
The True Story of the 3 Little Pigs,"Scieszka, Jon","avg rating    4.30
",0,,,,"Books
›
Children's & Young Adult
›
Traditional Stories",,"4,443 ratings",,,
Dreams from My Father: A Story of Race and Inheritance,"Obama, Barack","avg rating    3.92
","1,048.00",0,,,"Books
›
History
›
Region & Countries",,"5,824 ratings",,"FREE delivery: Sunday, March 20 Details",uRead-Store
A Promised Land,"Obama, Barack","avg rating    4.36
","1,280.00",0,,"1,096.59","Books
›
History
›
Region & Countries","THE #1 SUNDAY TIMES BESTSELLER

A riveting, deeply personal account of history in the making-from the president who inspired us to believe in the power of democracy.

'Gorgeously written, humorous, compelling, life affirming' Justin Webb, Mail on Sunday

In the stirring, highly anticipated first volume of his presidential memoirs, Barack Obama tells the story of his improbable odyssey from young man searching for his identity to leader of the free world, describing in strikingly personal detail both his political education and the landmark moments of the first term of his historic presidency-a time of dramatic transformation and turmoil.

Obama takes readers on a compelling journey from his earliest political aspirations to the pivotal Iowa caucus victory that demonstrated the power of grassroots activism to the watershed night of November 4, 2008, when he was elected 44th president of the United States, becoming the first African American to hold the nation's highest office.

Reflecting on the presidency, he offers a unique and thoughtful exploration of both the awesome reach and the limits of presidential power, as well as singular insights into the dynamics of U.S. partisan politics and international diplomacy. Obama brings readers inside the Oval Office and the White House Situation Room, and to Moscow, Cairo, Beijing, and points beyond. We are privy to his thoughts as he assembles his cabinet, wrestles with a global financial crisis, takes the measure of Vladimir Putin, overcomes seemingly insurmountable odds to secure passage of the Affordable Care Act, clashes with generals about U.S. strategy in Afghanistan, tackles Wall Street reform, responds to the devastating blowout, and authorizes Operation Neptune's Spear, which leads to the death of Osama bin Laden.

is extraordinarily intimate and introspective-the story of one man's bet with history, the faith of a community organizer tested on the world stage. Obama is candid about the balancing act of running for office as a Black American, bearing the expectations of a generation buoyed by messages of ""hope and change,"" and meeting the moral challenges of high-stakes decision-making. He is frank about the forces that opposed him at home and abroad, open about how living in the White House affected his wife and daughters, and unafraid to reveal self-doubt and disappointment. Yet he never wavers from his belief that inside the great, ongoing American experiment, progress is always possible.

This beautifully written and powerful book captures Barack Obama's conviction that democracy is not a gift from on high but something founded on empathy and common understanding and built together, day by day.","23,213 ratings",,"FREE delivery: Saturday, March 19 Details",Cloudtail India
The Audacity of Hope: Thoughts on Reclaiming the American Dream,"Obama, Barack","avg rating    3.80
",0,,,,"Books
›
Biographies, Diaries & True Accounts
›
Biographies & Autobiographies",,80 ratings,,,
Of Thee I Sing: A Letter to My Daughters,"Obama, Barack","avg rating    4.24
",857,0,,,"Books
›
Children's & Young Adult
›
Family, Personal & Social Issues",,"3,004 ratings",,"FREE delivery: Tuesday, March 22 Details",Cloudtail India
Eight Perfect Murders,"Swanson, Peter","avg rating    3.64
","1,156.00",,,562.69,"Books
›
Crime, Thriller & Mystery",New York Times bestseller,"1,354 ratings",,"FREE delivery: Tuesday, March 22 Details",Cloudtail India
The Beekeeper of Aleppo,"Lefteri, Christy","avg rating    4.20
",295,0,,280.25,"Books
›
Literature & Fiction
›
Contemporary Fiction",,"18,895 ratings",,"FREE delivery: Saturday, March 19 on orders over ₹499 shipped by Amazon Details",Cloudtail India
The Singing Trees,"Walker, Boo","avg rating    4.35
",301,,,301,"Books
›
Children's & Young Adult
›
Literature & Fiction",,121 ratings,,"FREE delivery: Monday, March 21 on orders over ₹499 shipped by Amazon Details",uRead-Store
